Truth,Time,Substream_ID,Value0,Value1,Value2,Value3,Critical
B,1989,0,Male,36,202,blonde,False
C,1990,0,Male,32,164,brown,False
D,1991,0,Male,77,178,brown,True
B,1992,0,Male,35,208,blonde,False
A,1993,0,Male,21,180,brown,False
C,1994,0,Male,37,164,blonde,False
A,1995,0,Male,16,168,brown,False
B,1996,0,Male,39,206,brown,False
A,1997,0,Male,24,165,brown,False
B,1998,0,Male,35,201,blonde,False
A,1999,0,Male,21,173,blonde,False
B,2000,0,Male,38,211,blonde,False
A,2001,0,Male,19,171,brown,False
B,2002,0,Male,32,219,blonde,False
C,2003,0,Male,32,156,blonde,False
D,2004,0,Male,76,168,brown,True
D,2005,0,Male,73,171,blonde,True
B,2006,0,Male,39,214,brown,False
A,2007,0,Male,19,167,blonde,False
B,2008,0,Male,43,203,brown,False
A,2009,0,Male,25,170,blonde,False
B,2010,0,Male,43,208,brown,False
A,2011,0,Male,20,171,blonde,False
B,2012,0,Male,33,207,blonde,False
C,2013,0,Male,36,159,blonde,False
D,2014,0,Male,68,169,brown,True
D,2015,0,Male,73,169,blonde,True
B,2016,0,Male,33,206,blonde,False
C,2017,0,Male,35,157,brown,False
D,2018,0,Male,71,180,brown,True
B,2019,0,Male,33,211,brown,False
C,2020,0,Male,40,157,blonde,False
D,2021,0,Male,78,169,blonde,True
B,2022,0,Male,43,212,brown,False
A,2023,0,Male,24,171,blonde,False
B,2024,0,Male,37,207,brown,False
C,2025,0,Male,45,155,brown,False
D,2026,0,Male,79,166,brown,True
B,2027,0,Male,35,210,blonde,False
A,2028,0,Male,16,175,brown,False
C,2029,0,Male,44,156,brown,False
D,2030,0,Male,74,170,blonde,True
B,2031,0,Male,42,200,brown,False
C,2032,0,Male,33,158,brown,False
D,2033,0,Male,74,174,brown,True
D,2034,0,Male,65,176,brown,True
D,2035,0,Male,67,165,blonde,True
B,2036,0,Male,39,201,blonde,False
A,2037,0,Male,17,166,brown,False
B,2038,0,Male,36,202,blonde,False
C,2039,0,Male,45,156,blonde,False
D,2040,0,Male,66,175,brown,True
B,2041,0,Male,41,219,brown,False
A,2042,0,Male,16,180,brown,False
C,2043,0,Male,36,164,blonde,False
D,2044,0,Male,72,176,brown,True
B,2045,0,Male,45,210,blonde,False
A,2046,0,Male,22,171,brown,False
B,2047,0,Male,32,200,brown,False
A,2048,0,Male,25,171,brown,False
B,2049,0,Male,34,219,blonde,False
C,2050,0,Male,43,161,brown,False
D,2051,0,Male,72,165,blonde,True
B,2052,0,Male,41,205,brown,False
C,2053,0,Male,41,157,blonde,False
D,2054,0,Male,75,174,brown,True
B,2055,0,Male,40,202,brown,False
C,2056,0,Male,35,159,brown,False
D,2057,0,Male,66,176,brown,True
D,2058,0,Male,73,172,brown,True
B,2059,0,Male,37,216,brown,False
A,2060,0,Male,20,177,brown,False
B,2061,0,Male,33,202,brown,False
C,2062,0,Male,35,157,blonde,False
A,2063,0,Male,20,176,brown,False
B,2064,0,Male,42,214,brown,False
A,2065,0,Male,19,179,brown,False
B,2066,0,Male,33,206,brown,False
A,2067,0,Male,20,168,blonde,False
B,2068,0,Male,32,202,blonde,False
A,2069,0,Male,24,178,brown,False
B,2070,0,Male,40,203,blonde,False
A,2071,0,Male,23,174,brown,False
B,2072,0,Male,39,201,brown,False
A,2073,0,Male,24,180,brown,False
B,2074,0,Male,41,215,blonde,False
A,2075,0,Male,24,172,blonde,False
B,2076,0,Male,39,218,blonde,False
C,2077,0,Male,35,164,blonde,False
D,2078,0,Male,66,174,blonde,True
B,2079,0,Male,38,210,brown,False
A,2080,0,Male,21,169,brown,False
B,2081,0,Male,39,204,brown,False
A,2082,0,Male,18,172,blonde,False
C,2083,0,Male,37,162,brown,False
D,2084,0,Male,68,175,brown,True
D,2085,0,Male,69,174,blonde,True
B,2086,0,Male,35,216,brown,False
C,2087,0,Male,36,158,blonde,False
D,2088,0,Male,79,168,brown,True
B,2089,0,Male,43,210,blonde,False
A,2090,0,Male,20,168,blonde,False
B,2091,0,Male,35,207,brown,False
A,2092,0,Male,24,170,brown,False
C,2093,0,Male,44,160,blonde,False
D,2094,0,Male,74,171,blonde,True
B,2095,0,Male,42,212,brown,False
A,2096,0,Male,20,177,brown,False
B,2097,0,Male,33,220,blonde,False
A,2098,0,Male,16,169,blonde,False
B,2099,0,Male,40,200,blonde,False
C,2100,0,Male,41,164,brown,False
D,2101,0,Male,70,170,brown,True
D,2102,0,Male,66,180,brown,True
D,2103,0,Male,72,176,blonde,True
B,2104,0,Male,44,206,blonde,False
C,2105,0,Male,34,157,brown,False
D,2106,0,Male,80,174,brown,True
B,2107,0,Male,36,206,brown,False
A,2108,0,Male,19,169,brown,False
B,2109,0,Male,39,205,blonde,False
A,2110,0,Male,22,177,brown,False
B,2111,0,Male,35,211,brown,False
A,2112,0,Male,23,169,brown,False
B,2113,0,Male,38,214,brown,False
A,2114,0,Male,19,166,brown,False
B,2115,0,Male,41,216,blonde,False
C,2116,0,Male,42,162,blonde,False
D,2117,0,Male,78,170,blonde,True
B,2118,0,Male,32,219,brown,False
A,2119,0,Male,18,167,blonde,False
B,2120,0,Male,36,210,blonde,False
C,2121,0,Male,43,159,brown,False
D,2122,0,Male,68,177,brown,True
B,2123,0,Male,43,210,blonde,False
A,2124,0,Male,19,170,brown,False
B,2125,0,Male,45,212,brown,False
A,2126,0,Male,23,169,blonde,False
B,2127,0,Male,43,209,brown,False
C,2128,0,Male,41,156,blonde,False
D,2129,0,Male,74,172,brown,True
D,2130,0,Male,78,175,blonde,True
D,2131,0,Male,76,180,blonde,True
D,2132,0,Male,68,169,blonde,True
D,2133,0,Male,73,173,blonde,True
D,2134,0,Male,72,170,brown,True
B,2135,0,Male,37,216,blonde,False
C,2136,0,Male,45,158,blonde,False
A,2137,0,Male,24,171,brown,False
B,2138,0,Male,45,211,blonde,False
C,2139,0,Male,38,162,brown,False
D,2140,0,Male,71,179,brown,True
B,2141,0,Male,43,209,blonde,False
C,2142,0,Male,33,163,brown,False
D,2143,0,Male,78,173,brown,True
B,2144,0,Male,33,203,blonde,False
C,2145,0,Male,42,158,brown,False
D,2146,0,Male,70,166,brown,True
B,2147,0,Male,34,216,brown,False
C,2148,0,Male,34,155,blonde,False
D,2149,0,Male,70,171,blonde,True
B,2150,0,Male,37,211,brown,False
C,2151,0,Male,36,160,brown,False
D,2152,0,Male,75,167,brown,True
B,2153,0,Male,42,212,blonde,False
C,2154,0,Male,43,162,brown,False
D,2155,0,Male,76,178,blonde,True
D,2156,0,Male,68,165,blonde,True
D,2157,0,Male,76,172,blonde,True
B,2158,0,Male,33,217,blonde,False
C,2159,0,Male,42,159,brown,False
D,2160,0,Male,77,174,brown,True
B,2161,0,Male,39,201,blonde,False
C,2162,0,Male,36,160,brown,False
D,2163,0,Male,75,166,blonde,True
B,2164,0,Male,33,201,brown,False
A,2165,0,Male,25,169,blonde,False
B,2166,0,Male,36,218,brown,False
A,2167,0,Male,25,172,brown,False
C,2168,0,Male,40,158,blonde,False
D,2169,0,Male,69,179,brown,True
D,2170,0,Male,69,167,brown,True
D,2171,0,Male,77,175,brown,True
D,2172,0,Male,74,178,brown,True
D,2173,0,Male,71,165,brown,True
D,2174,0,Male,69,175,blonde,True
B,2175,0,Male,34,207,blonde,False
A,2176,0,Male,23,174,blonde,False
B,2177,0,Male,39,214,blonde,False
A,2178,0,Male,24,177,blonde,False
B,2179,0,Male,41,219,blonde,False
A,2180,0,Male,23,178,brown,False
C,2181,0,Male,40,158,blonde,False
D,2182,0,Male,65,173,brown,True
D,2183,0,Male,69,172,blonde,True
B,2184,0,Male,42,219,brown,False
C,2185,0,Male,45,164,blonde,False
D,2186,0,Male,69,166,blonde,True
B,2187,0,Male,33,218,blonde,False
A,2188,0,Male,19,168,blonde,False
B,2189,0,Male,42,201,blonde,False
A,2190,0,Male,19,169,blonde,False
B,2191,0,Male,37,213,brown,False
C,2192,0,Male,33,160,blonde,False
D,2193,0,Male,75,177,blonde,True
B,2194,0,Male,40,210,blonde,False
C,2195,0,Male,33,155,brown,False
D,2196,0,Male,74,166,blonde,True
B,2197,0,Male,33,211,brown,False
A,2198,0,Male,20,170,brown,False
B,2199,0,Male,42,213,blonde,False
A,2200,0,Male,19,167,blonde,False
C,2201,0,Male,38,157,brown,False
D,2202,0,Male,79,170,blonde,True
B,2203,0,Male,43,203,blonde,False
A,2204,0,Male,23,169,blonde,False
C,2205,0,Male,37,164,blonde,False
D,2206,0,Male,67,173,blonde,True
B,2207,0,Male,36,210,brown,False
C,2208,0,Male,33,161,blonde,False
D,2209,0,Male,74,174,brown,True
B,2210,0,Male,41,210,brown,False
C,2211,0,Male,43,159,blonde,False
A,2212,0,Male,16,180,blonde,False
B,2213,0,Male,33,201,blonde,False
A,2214,0,Male,20,172,blonde,False
B,2215,0,Male,42,216,blonde,False
A,2216,0,Male,19,174,brown,False
B,2217,0,Male,36,214,brown,False
A,2218,0,Male,25,178,blonde,False
B,2219,0,Male,35,200,blonde,False
A,2220,0,Male,21,170,brown,False
B,2221,0,Male,44,206,blonde,False
C,2222,0,Male,40,161,brown,False
D,2223,0,Male,75,171,blonde,True
D,2224,0,Male,74,167,blonde,True
B,2225,0,Male,32,210,blonde,False
C,2226,0,Male,34,156,blonde,False
D,2227,0,Male,68,166,blonde,True
D,2228,0,Male,69,177,brown,True
B,2229,0,Male,32,214,blonde,False
A,2230,0,Male,19,165,blonde,False
C,2231,0,Male,34,155,brown,False
D,2232,0,Male,73,174,blonde,True
B,2233,0,Male,45,216,brown,False
A,2234,0,Male,21,168,blonde,False
B,2235,0,Male,33,217,blonde,False
C,2236,0,Male,39,157,blonde,False
D,2237,0,Male,66,174,blonde,True
D,2238,0,Male,68,173,brown,True
B,2239,0,Male,39,215,blonde,False
A,2240,0,Male,20,178,brown,False
B,2241,0,Male,36,214,blonde,False
C,2242,0,Male,41,163,brown,False
D,2243,0,Male,68,178,brown,True
B,2244,0,Male,35,203,brown,False
A,2245,0,Male,25,172,blonde,False
B,2246,0,Male,40,202,blonde,False
C,2247,0,Male,43,161,brown,False
D,2248,0,Male,71,171,brown,True
B,2249,0,Male,38,203,blonde,False
A,2250,0,Male,23,178,brown,False
B,2251,0,Male,36,212,brown,False
A,2252,0,Male,22,169,blonde,False
B,2253,0,Male,32,202,blonde,False
A,2254,0,Male,16,175,brown,False
C,2255,0,Male,40,162,brown,False
D,2256,0,Male,71,177,blonde,True
B,2257,0,Male,37,216,brown,False
A,2258,0,Male,23,177,brown,False
B,2259,0,Male,45,219,blonde,False
C,2260,0,Male,42,157,brown,False
D,2261,0,Male,70,177,brown,True
B,2262,0,Male,34,220,blonde,False
A,2263,0,Male,20,178,brown,False
B,2264,0,Male,44,213,blonde,False
C,2265,0,Male,39,158,brown,False
D,2266,0,Male,71,165,brown,True
B,2267,0,Male,33,213,brown,False
C,2268,0,Male,43,161,brown,False
D,2269,0,Male,77,171,brown,True
D,2270,0,Male,65,166,blonde,True
B,2271,0,Male,41,216,brown,False
A,2272,0,Male,17,178,brown,False
B,2273,0,Male,42,207,brown,False
C,2274,0,Male,37,160,brown,False
D,2275,0,Male,69,175,brown,True
B,2276,0,Male,33,208,brown,False
C,2277,0,Male,44,159,brown,False
D,2278,0,Male,69,178,brown,True
B,2279,0,Male,35,219,blonde,False
A,2280,0,Male,19,173,brown,False
B,2281,0,Male,42,204,brown,False
A,2282,0,Male,18,173,blonde,False
C,2283,0,Male,32,158,brown,False
D,2284,0,Male,75,168,brown,True
D,2285,0,Male,66,173,blonde,True
B,2286,0,Male,39,206,blonde,False
A,2287,0,Male,21,167,blonde,False
B,2288,0,Male,36,215,brown,False
A,2289,0,Male,20,178,brown,False
B,2290,0,Male,41,217,blonde,False
C,2291,0,Male,33,156,blonde,False
D,2292,0,Male,77,173,blonde,True
B,2293,0,Male,45,217,brown,False
A,2294,0,Male,24,170,brown,False
B,2295,0,Male,38,207,brown,False
C,2296,0,Male,36,159,brown,False
D,2297,0,Male,70,173,blonde,True
D,2298,0,Male,68,174,brown,True
B,2299,0,Male,38,210,brown,False
A,2300,0,Male,17,167,blonde,False
B,2301,0,Male,34,214,blonde,False
C,2302,0,Male,41,160,brown,False
D,2303,0,Male,66,169,blonde,True
D,2304,0,Male,76,179,brown,True
D,2305,0,Male,74,175,blonde,True
B,2306,0,Male,42,200,brown,False
C,2307,0,Male,34,155,brown,False
D,2308,0,Male,79,168,brown,True
B,2309,0,Male,42,220,brown,False
A,2310,0,Male,17,166,brown,False
B,2311,0,Male,42,213,blonde,False
C,2312,0,Male,36,157,brown,False
D,2313,0,Male,79,167,brown,True
B,2314,0,Male,43,213,brown,False
A,2315,0,Male,23,180,brown,False
B,2316,0,Male,37,218,brown,False
A,2317,0,Male,17,168,blonde,False
B,2318,0,Male,33,207,brown,False
A,2319,0,Male,23,167,brown,False
B,2320,0,Male,45,220,blonde,False
A,2321,0,Male,24,170,blonde,False
C,2322,0,Male,44,161,brown,False
D,2323,0,Male,70,175,blonde,True
B,2324,0,Male,35,215,brown,False
A,2325,0,Male,18,168,brown,False
B,2326,0,Male,34,214,blonde,False
C,2327,0,Male,43,157,brown,False
D,2328,0,Male,66,168,brown,True
B,2329,0,Male,36,208,blonde,False
C,2330,0,Male,41,158,brown,False
D,2331,0,Male,80,165,brown,True
D,2332,0,Male,77,168,brown,True
B,2333,0,Male,37,217,brown,False
C,2334,0,Male,36,159,blonde,False
D,2335,0,Male,79,172,brown,True
B,2336,0,Male,39,200,blonde,False
A,2337,0,Male,16,168,blonde,False
B,2338,0,Male,37,213,blonde,False
C,2339,0,Male,36,155,blonde,False
D,2340,0,Male,68,174,brown,True
B,2341,0,Male,45,209,blonde,False
A,2342,0,Male,22,173,brown,False
C,2343,0,Male,36,161,brown,False
D,2344,0,Male,74,180,brown,True
B,2345,0,Male,35,220,blonde,False
C,2346,0,Male,42,162,brown,False
A,2347,0,Male,18,168,blonde,False
B,2348,0,Male,34,208,brown,False
A,2349,0,Male,20,168,brown,False
C,2350,0,Male,33,155,blonde,False
D,2351,0,Male,67,175,blonde,True
B,2352,0,Male,36,219,brown,False
C,2353,0,Male,38,156,blonde,False
D,2354,0,Male,73,171,blonde,True
B,2355,0,Male,41,210,blonde,False
A,2356,0,Male,16,166,blonde,False
B,2357,0,Male,35,203,blonde,False
A,2358,0,Male,23,167,brown,False
B,2359,0,Male,35,216,brown,False
A,2360,0,Male,22,170,blonde,False
B,2361,0,Male,43,216,blonde,False
A,2362,0,Male,23,177,blonde,False
C,2363,0,Male,45,155,brown,False
D,2364,0,Male,80,169,brown,True
B,2365,0,Male,41,216,blonde,False
A,2366,0,Male,18,170,brown,False
B,2367,0,Male,41,205,brown,False
C,2368,0,Male,45,160,brown,False
D,2369,0,Male,78,174,blonde,True
B,2370,0,Male,38,213,brown,False
C,2371,0,Male,40,158,brown,False
A,2372,0,Male,17,165,brown,False
B,2373,0,Male,40,201,brown,False
C,2374,0,Male,37,160,brown,False
D,2375,0,Male,74,167,blonde,True
B,2376,0,Male,45,202,brown,False
C,2377,0,Male,45,157,brown,False
D,2378,0,Male,72,167,blonde,True
B,2379,0,Male,41,206,blonde,False
A,2380,0,Male,20,178,brown,False
B,2381,0,Male,33,216,blonde,False
A,2382,0,Male,16,169,blonde,False
C,2383,0,Male,33,161,blonde,False
A,2384,0,Male,25,176,blonde,False
B,2385,0,Male,35,207,brown,False
C,2386,0,Male,44,164,blonde,False
D,2387,0,Male,72,179,blonde,True
B,2388,0,Male,39,219,brown,False
C,2389,0,Male,35,157,blonde,False
A,2390,0,Male,20,180,blonde,False
C,2391,0,Male,38,158,brown,False
A,2392,0,Male,23,169,brown,False
B,2393,0,Male,32,217,blonde,False
A,2394,0,Male,24,172,brown,False
B,2395,0,Male,32,204,blonde,False
A,2396,0,Male,24,168,blonde,False
B,2397,0,Male,43,205,brown,False
A,2398,0,Male,21,171,blonde,False
C,2399,0,Male,38,158,blonde,False
D,2400,0,Male,72,180,brown,True
D,2401,0,Male,74,176,blonde,True
B,2402,0,Male,43,208,brown,False
C,2403,0,Male,43,161,brown,False
D,2404,0,Male,72,172,blonde,True
D,2405,0,Male,78,169,brown,True
D,2406,0,Male,74,171,blonde,True
B,2407,0,Male,45,201,brown,False
C,2408,0,Male,42,160,blonde,False
D,2409,0,Male,74,171,brown,True
B,2410,0,Male,34,220,blonde,False
C,2411,0,Male,43,157,blonde,False
D,2412,0,Male,76,179,brown,True
B,2413,0,Male,35,216,blonde,False
A,2414,0,Male,18,180,blonde,False
B,2415,0,Male,43,200,blonde,False
C,2416,0,Male,38,157,blonde,False
A,2417,0,Male,19,177,blonde,False
B,2418,0,Male,39,200,brown,False
C,2419,0,Male,40,163,blonde,False
D,2420,0,Male,73,179,blonde,True
D,2421,0,Male,75,180,blonde,True
D,2422,0,Male,80,169,blonde,True
B,2423,0,Male,43,219,brown,False
A,2424,0,Male,23,175,blonde,False
B,2425,0,Male,33,206,blonde,False
C,2426,0,Male,33,161,brown,False
D,2427,0,Male,71,168,brown,True
B,2428,0,Male,35,210,brown,False
A,2429,0,Male,24,177,blonde,False
B,2430,0,Male,35,212,blonde,False
A,2431,0,Male,23,180,blonde,False
C,2432,0,Male,39,158,blonde,False
D,2433,0,Male,71,172,brown,True
B,2434,0,Male,41,216,blonde,False
A,2435,0,Male,17,180,brown,False
B,2436,0,Male,38,205,blonde,False
A,2437,0,Male,16,167,blonde,False
B,2438,0,Male,39,219,blonde,False
A,2439,0,Male,17,171,brown,False
B,2440,0,Male,37,208,blonde,False
A,2441,0,Male,25,180,brown,False
B,2442,0,Male,42,203,brown,False
A,2443,0,Male,20,165,brown,False
B,2444,0,Male,32,201,brown,False
A,2445,0,Male,21,165,brown,False
B,2446,0,Male,41,211,blonde,False
C,2447,0,Male,35,157,blonde,False
D,2448,0,Male,73,179,brown,True
B,2449,0,Male,34,206,brown,False
C,2450,0,Male,45,157,blonde,False
D,2451,0,Male,72,169,blonde,True
B,2452,0,Male,36,214,brown,False
C,2453,0,Male,37,155,blonde,False
D,2454,0,Male,71,176,blonde,True
D,2455,0,Male,66,165,brown,True
B,2456,0,Male,45,205,blonde,False
A,2457,0,Male,23,173,brown,False
B,2458,0,Male,41,203,brown,False
A,2459,0,Male,20,175,brown,False
B,2460,0,Male,37,212,brown,False
A,2461,0,Male,21,171,brown,False
B,2462,0,Male,42,215,blonde,False
A,2463,0,Male,16,166,brown,False
B,2464,0,Male,45,211,blonde,False
A,2465,0,Male,25,180,brown,False
C,2466,0,Male,38,158,blonde,False
D,2467,0,Male,69,173,blonde,True
B,2468,0,Male,45,212,brown,False
A,2469,0,Male,25,173,blonde,False
B,2470,0,Male,43,211,blonde,False
A,2471,0,Male,25,176,brown,False
B,2472,0,Male,45,216,brown,False
A,2473,0,Male,25,172,blonde,False
B,2474,0,Male,36,200,blonde,False
A,2475,0,Male,21,171,brown,False
B,2476,0,Male,37,207,brown,False
A,2477,0,Male,21,177,brown,False
C,2478,0,Male,37,161,brown,False
A,2479,0,Male,20,172,blonde,False
B,2480,0,Male,36,202,brown,False
C,2481,0,Male,45,162,blonde,False
D,2482,0,Male,80,167,brown,True
B,2483,0,Male,35,205,blonde,False
A,2484,0,Male,20,175,blonde,False
C,2485,0,Male,37,163,blonde,False
D,2486,0,Male,69,176,brown,True
D,2487,0,Male,68,172,brown,True
B,2488,0,Male,42,207,brown,False
A,2489,0,Male,16,165,brown,False
B,2490,0,Male,40,218,brown,False
A,2491,0,Male,21,165,blonde,False
B,2492,0,Male,41,212,blonde,False
A,2493,0,Male,23,180,brown,False
B,2494,0,Male,34,212,blonde,False
C,2495,0,Male,35,158,brown,False
D,2496,0,Male,67,167,brown,True
B,2497,0,Male,33,210,blonde,False
C,2498,0,Male,38,156,blonde,False
D,2499,0,Male,71,168,blonde,True
D,2500,0,Male,71,171,brown,True
B,2501,0,Male,45,202,blonde,False
C,2502,0,Male,42,159,blonde,False
D,2503,0,Male,71,173,blonde,True
B,2504,0,Male,35,219,brown,False
C,2505,0,Male,35,156,brown,False
D,2506,0,Male,65,174,blonde,True
B,2507,0,Male,35,200,brown,False
A,2508,0,Male,25,176,blonde,False
B,2509,0,Male,38,204,brown,False
A,2510,0,Male,24,170,brown,False
B,2511,0,Male,33,206,brown,False
C,2512,0,Male,37,162,brown,False
D,2513,0,Male,73,170,blonde,True
B,2514,0,Male,45,220,brown,False
A,2515,0,Male,20,166,blonde,False
B,2516,0,Male,41,220,blonde,False
A,2517,0,Male,21,180,brown,False
B,2518,0,Male,45,218,brown,False
A,2519,0,Male,17,171,blonde,False
B,2520,0,Male,37,212,brown,False
A,2521,0,Male,21,175,blonde,False
C,2522,0,Male,37,157,blonde,False
D,2523,0,Male,76,167,brown,True
B,2524,0,Male,37,212,blonde,False
A,2525,0,Male,21,169,brown,False
B,2526,0,Male,40,209,brown,False
A,2527,0,Male,21,170,blonde,False
B,2528,0,Male,33,206,brown,False
A,2529,0,Male,17,175,blonde,False
B,2530,0,Male,36,214,blonde,False
C,2531,0,Male,38,158,brown,False
D,2532,0,Male,70,180,blonde,True
B,2533,0,Male,39,215,brown,False
C,2534,0,Male,42,164,blonde,False
D,2535,0,Male,71,170,blonde,True
B,2536,0,Male,43,210,brown,False
A,2537,0,Male,23,177,brown,False
B,2538,0,Male,32,218,brown,False
C,2539,0,Male,34,157,brown,False
D,2540,0,Male,70,170,brown,True
D,2541,0,Male,68,176,blonde,True
B,2542,0,Male,40,220,brown,False
A,2543,0,Male,21,169,brown,False
B,2544,0,Male,40,203,brown,False
A,2545,0,Male,22,174,brown,False
B,2546,0,Male,39,218,brown,False
C,2547,0,Male,38,162,blonde,False
D,2548,0,Male,69,180,brown,True
D,2549,0,Male,79,170,blonde,True
B,2550,0,Male,43,205,blonde,False
C,2551,0,Male,42,160,blonde,False
D,2552,0,Male,70,179,blonde,True
B,2553,0,Male,35,217,brown,False
A,2554,0,Male,23,170,blonde,False
B,2555,0,Male,41,216,brown,False
C,2556,0,Male,36,163,blonde,False
D,2557,0,Male,65,180,brown,True
B,2558,0,Male,38,201,brown,False
C,2559,0,Male,39,155,brown,False
D,2560,0,Male,80,175,brown,True
B,2561,0,Male,38,217,brown,False
A,2562,0,Male,25,166,blonde,False
C,2563,0,Male,33,158,blonde,False
A,2564,0,Male,19,173,brown,False
B,2565,0,Male,42,217,blonde,False
A,2566,0,Male,24,177,blonde,False
B,2567,0,Male,35,216,blonde,False
C,2568,0,Male,32,160,blonde,False
D,2569,0,Male,70,174,brown,True
D,2570,0,Male,80,166,blonde,True
D,2571,0,Male,76,168,brown,True
B,2572,0,Male,34,212,brown,False
C,2573,0,Male,42,162,brown,False
D,2574,0,Male,75,170,blonde,True
B,2575,0,Male,37,210,blonde,False
C,2576,0,Male,41,161,brown,False
D,2577,0,Male,75,175,brown,True
D,2578,0,Male,69,179,blonde,True
B,2579,0,Male,42,209,brown,False
C,2580,0,Male,35,155,brown,False
D,2581,0,Male,72,174,blonde,True
B,2582,0,Male,42,200,brown,False
C,2583,0,Male,41,155,blonde,False
D,2584,0,Male,72,175,brown,True
B,2585,0,Male,45,211,blonde,False
C,2586,0,Male,40,164,brown,False
A,2587,0,Male,16,169,blonde,False
C,2588,0,Male,44,156,brown,False
D,2589,0,Male,67,173,blonde,True
B,2590,0,Male,37,220,blonde,False
C,2591,0,Male,41,155,brown,False
D,2592,0,Male,75,178,brown,True
B,2593,0,Male,42,212,brown,False
C,2594,0,Male,42,156,blonde,False
A,2595,0,Male,23,173,blonde,False
B,2596,0,Male,37,202,brown,False
A,2597,0,Male,21,177,brown,False
B,2598,0,Male,33,217,blonde,False
A,2599,0,Male,18,178,brown,False
C,2600,0,Male,37,155,blonde,False
D,2601,0,Male,70,176,blonde,True
B,2602,0,Male,44,214,brown,False
A,2603,0,Male,25,180,brown,False
B,2604,0,Male,44,209,blonde,False
A,2605,0,Male,21,170,brown,False
C,2606,0,Male,32,162,brown,False
D,2607,0,Male,73,176,blonde,True
B,2608,0,Male,32,211,blonde,False
C,2609,0,Male,41,163,blonde,False
D,2610,0,Male,71,177,brown,True
B,2611,0,Male,34,200,brown,False
C,2612,0,Male,44,164,brown,False
D,2613,0,Male,79,170,brown,True
B,2614,0,Male,36,206,brown,False
A,2615,0,Male,21,175,brown,False
B,2616,0,Male,41,219,brown,False
C,2617,0,Male,43,156,brown,False
D,2618,0,Male,71,166,blonde,True
B,2619,0,Male,39,210,blonde,False
A,2620,0,Male,24,172,brown,False
B,2621,0,Male,44,215,blonde,False
A,2622,0,Male,17,169,blonde,False
C,2623,0,Male,43,159,brown,False
D,2624,0,Male,69,166,brown,True
D,2625,0,Male,70,177,brown,True
B,2626,0,Male,45,201,brown,False
C,2627,0,Male,39,160,brown,False
D,2628,0,Male,77,178,blonde,True
B,2629,0,Male,38,215,brown,False
A,2630,0,Male,19,165,brown,False
B,2631,0,Male,36,219,brown,False
C,2632,0,Male,41,164,brown,False
D,2633,0,Male,77,175,brown,True
B,2634,0,Male,41,204,brown,False
A,2635,0,Male,20,179,blonde,False
B,2636,0,Male,40,206,brown,False
A,2637,0,Male,17,179,blonde,False
B,2638,0,Male,36,203,blonde,False
A,2639,0,Male,21,180,blonde,False
B,2640,0,Male,40,219,blonde,False
C,2641,0,Male,42,161,blonde,False
D,2642,0,Male,73,165,brown,True
B,2643,0,Male,32,220,brown,False
A,2644,0,Male,21,168,blonde,False
B,2645,0,Male,33,217,brown,False
A,2646,0,Male,16,177,brown,False
B,2647,0,Male,35,204,blonde,False
A,2648,0,Male,21,171,blonde,False
B,2649,0,Male,42,216,brown,False
A,2650,0,Male,18,178,blonde,False
B,2651,0,Male,36,208,blonde,False
A,2652,0,Male,16,179,brown,False
B,2653,0,Male,36,211,blonde,False
A,2654,0,Male,22,166,blonde,False
B,2655,0,Male,35,219,blonde,False
C,2656,0,Male,34,156,blonde,False
D,2657,0,Male,77,178,brown,True
B,2658,0,Male,33,203,blonde,False
A,2659,0,Male,21,167,blonde,False
B,2660,0,Male,34,217,blonde,False
C,2661,0,Male,43,162,blonde,False
D,2662,0,Male,78,172,brown,True
B,2663,0,Male,36,216,brown,False
A,2664,0,Male,23,168,blonde,False
C,2665,0,Male,42,161,blonde,False
D,2666,0,Male,76,174,blonde,True
B,2667,0,Male,45,201,brown,False
A,2668,0,Male,18,168,blonde,False
C,2669,0,Male,37,163,blonde,False
A,2670,0,Male,21,172,blonde,False
B,2671,0,Male,37,202,blonde,False
C,2672,0,Male,32,156,brown,False
D,2673,0,Male,80,177,brown,True
D,2674,0,Male,80,175,brown,True
B,2675,0,Male,42,201,blonde,False
A,2676,0,Male,23,167,brown,False
B,2677,0,Male,34,213,brown,False
C,2678,0,Male,32,162,brown,False
D,2679,0,Male,70,176,brown,True
D,2680,0,Male,79,172,brown,True
B,2681,0,Male,41,219,blonde,False
A,2682,0,Male,25,172,blonde,False
B,2683,0,Male,35,202,blonde,False
C,2684,0,Male,38,162,blonde,False
D,2685,0,Male,74,168,blonde,True
B,2686,0,Male,39,220,blonde,False
A,2687,0,Male,16,169,blonde,False
B,2688,0,Male,44,215,blonde,False
A,2689,0,Male,19,178,blonde,False
C,2690,0,Male,44,155,blonde,False
D,2691,0,Male,70,165,blonde,True
B,2692,0,Male,33,204,blonde,False
C,2693,0,Male,35,161,brown,False
D,2694,0,Male,65,179,brown,True
B,2695,0,Male,36,200,brown,False
A,2696,0,Male,18,180,blonde,False
C,2697,0,Male,33,158,brown,False
D,2698,0,Male,65,175,brown,True
B,2699,0,Male,45,203,brown,False
C,2700,0,Male,34,161,brown,False
D,2701,0,Male,74,170,brown,True
B,2702,0,Male,40,208,blonde,False
C,2703,0,Male,44,161,blonde,False
D,2704,0,Male,76,165,brown,True
